rentals,temp_c,humidity,wind_kph,is_holiday,season
657,7.783223168,0.22552048,18.05770904,0,winter
632,16.69193695,0.533522733,15.97583062,0,spring
546,17.04421228,0.879504754,13.23557502,1,spring
650,18.46025454,0.623326718,18.1591024,1,autumn
730,19.84152361,0.244849392,0.5,1,summer
677,29.11545718,0.770392646,10.7106978,1,summer
708,17.91746651,0.583574495,8.043817358,0,spring
639,26.70386743,0.440498668,18.1123071,1,summer
640,15.87995139,0.750022485,11.42166147,1,autumn
737,27.56993445,0.420637227,16.10651475,0,summer
569,6.632430439,0.358670483,13.10975088,0,winter
462,5.33170172,0.556575928,17.86840212,1,winter
662,11.45237489,0.413713701,16.53255211,1,autumn
550,6.030214742,0.617655389,12.42030092,0,winter
605,11.05975854,0.849750931,14.95907467,0,autumn
680,17.74370765,0.780481461,12.45435427,0,spring
528,6.77699121,0.727872345,10.18049211,0,winter
647,16.45015608,0.665335762,14.94301572,0,autumn
679,14.02483127,0.849842459,20.23741327,0,spring
670,30.06408474,0.504726866,16.75854596,1,summer
680,9.347467121,0.840842096,8.477696871,0,spring
363,3.917055699,0.897703528,16.69456902,1,winter
619,12.0181483,0.87912484,8.394837694,1,autumn
538,5.269024443,0.810873091,0.5,1,winter
749,28.4618371,0.625464645,7.585257592,1,summer
713,12.84882167,0.257548357,13.17317523,0,autumn
641,10.04124219,0.828074427,5.074351351,1,autumn
350,-2.609097301,0.744414224,13.27660519,1,winter
642,16.63700522,0.17551939,18.18435753,0,spring
721,17.82246068,0.541171041,11.92892489,0,autumn
681,13.70081558,0.765849638,14.51602184,0,autumn
618,11.43124428,0.526273628,10.89884879,1,winter
877,29.33410991,0.116336178,0.5,1,autumn
727,23.01587918,0.306223363,13.53096085,0,summer
736,30.17064025,0.517409246,8.534406894,0,summer
638,20.29519793,0.84747286,13.73455281,1,summer
765,20.09357968,0.595383516,2.471389852,1,spring
665,29.64193219,0.856726225,13.17579008,1,summer
593,15.87586862,0.471944633,14.96941401,1,spring
627,13.44880621,0.767467705,19.26300885,0,spring
435,1.655669563,0.598727996,13.42452031,1,winter
645,12.09040563,0.4363309,5.711145868,1,autumn
604,17.84301284,0.537223629,12.47910804,1,spring
811,24.19726636,0.626904901,2.578191456,0,summer
768,23.11823297,0.821069621,2.821595343,0,summer
665,12.90435356,0.510551044,13.57582697,1,autumn
402,-1.022484852,0.811593163,15.15478812,0,winter
651,15.01967299,0.736294914,13.45234031,0,spring
714,28.00594024,0.695146795,18.35242515,1,summer
715,29.33167095,0.263850866,16.40694328,0,summer
627,10.69889283,0.909721328,15.23619788,0,winter
738,23.07210909,0.784698989,4.125256205,1,summer
669,14.22975041,0.631659516,8.834950307,0,spring
659,15.80388747,0.865395929,13.1882127,0,spring
828,27.75196656,0.304852262,5.086775134,0,summer
652,16.8204787,0.82479977,6.207195682,1,autumn
834,26.08554748,0.209174112,4.658382695,0,summer
777,23.55887896,0.674292957,8.928292159,0,summer
715,12.80462846,0.633085049,13.17730184,0,autumn
737,27.85365867,0.495733038,18.26622774,1,summer
578,4.972400805,0.747766696,12.50642845,0,winter
703,15.07498432,0.668369522,10.53529703,0,spring
594,6.425657071,0.578249791,7.072828648,0,winter
415,5.86751907,0.829120735,18.87040078,1,winter
539,5.778159529,0.536845878,13.57021162,0,winter
505,11.40031128,0.811382023,15.92228951,1,winter
